row_id,raw_lp_id,case_group,brief_uid,brief_role,chunk_id,lp_text,evidence_para_ids_joined,evidence_text,decision,edit_lp_text,merge_group_id,split_children,notes
e68fbef688f4,rawlp_e68fbef688f4cec7,23-1122,23-1122-petitioners,petitioner,23-1122-petitioners_C001,H.B. 1181's age-verification requirement is unconstitutional under a straightforward application of First Amendment principles.,p1,[p1] H.B. 1181’s age-verification requirement is unconstitutional under a straightforward application of First Amendment principles and precedent. The preliminary injunction should accordingly be restored.,reject,,,,"this is a conclusion, not a legal proposition that addresses one legal issue"
7551124d1ac1,rawlp_7551124d1ac1a3be,23-1122,23-1122-petitioners,petitioner,23-1122-petitioners_C001,A content-based burden on speech triggers strict scrutiny.,p2,"[p2] A. When speech is protected by the First Amendment, a content-based burden on that speech triggers strict scrutiny. H.B. 1181’s age-verification requirement fits squarely within that rule. The age-verification requirement is triggered by speech that Texas has deemed inappropriate for minors but that is constitutionally protected for adults. It is facially content-based, applying only to specified sexual material. And it imposes a clear burden, forcing adult users to incur severe privacy and security risks—which the statute leaves largely unaddressed—before they can access constitutionally protected speech.",accept,,,,
592909e12865,rawlp_592909e12865c9ae,23-1122,23-1122-petitioners,petitioner,23-1122-petitioners_C001,"H.B. 1181's age-verification requirement is facially content-based, applying only to specified sexual material.",p2,"[p2] A. When speech is protected by the First Amendment, a content-based burden on that speech triggers strict scrutiny. H.B. 1181’s age-verification requirement fits squarely within that rule. The age-verification requirement is triggered by speech that Texas has deemed inappropriate for minors but that is constitutionally protected for adults. It is facially content-based, applying only to specified sexual material. And it imposes a clear burden, forcing adult users to incur severe privacy and security risks—which the statute leaves largely unaddressed—before they can access constitutionally protected speech.",accept,,,,
6911a2d249fc,rawlp_6911a2d249fce030,23-1122,23-1122-petitioners,petitioner,23-1122-petitioners_C001,"The age-verification requirement imposes a clear burden on adult users, forcing them to incur severe privacy and security risks.",p2,"[p2] A. When speech is protected by the First Amendment, a content-based burden on that speech triggers strict scrutiny. H.B. 1181’s age-verification requirement fits squarely within that rule. The age-verification requirement is triggered by speech that Texas has deemed inappropriate for minors but that is constitutionally protected for adults. It is facially content-based, applying only to specified sexual material. And it imposes a clear burden, forcing adult users to incur severe privacy and security risks—which the statute leaves largely unaddressed—before they can access constitutionally protected speech.",accept,,,,
04a57fcf9f24,rawlp_04a57fcf9f24bafa,23-1122,23-1122-petitioners,petitioner,23-1122-petitioners_C001,This Court's precedent uniformly applies strict scrutiny to laws that burden adults' access to non-obscene sexual content.,p3,"[p3] Basic principles of free speech thus call for strict scrutiny. And this Court’s precedent removes all doubt. In an unbroken line of cases dating back decades, the Court has uniformly applied strict scrutiny to laws that do what H.B. 1181 does—burden adults’ access to non-obscene sexual content, which is constitutionally protected for them, while attempting to restrict minors’ access to that content. That line of cases culminated in Ashcroft, in which eight Justices applied strict scrutiny to a law materially indistinguishable from H.B. 1181.",accept,,,,
853ab69a8db3,rawlp_853ab69a8db3744c,23-1122,23-1122-petitioners,petitioner,23-1122-petitioners_C001,"Ashcroft applies strict scrutiny to laws like H.B. 1181, which burden adults' access to non-obscene sexual content.",p3,"[p3] Basic principles of free speech thus call for strict scrutiny. And this Court’s precedent removes all doubt. In an unbroken line of cases dating back decades, the Court has uniformly applied strict scrutiny to laws that do what H.B. 1181 does—burden adults’ access to non-obscene sexual content, which is constitutionally protected for them, while attempting to restrict minors’ access to that content. That line of cases culminated in Ashcroft, in which eight Justices applied strict scrutiny to a law materially indistinguishable from H.B. 1181.",edit,"Under Ashcroft, strict scrutiny applies to laws that burden adults' access to non-obscene sexual content. ",,,a contestable legal proposition based on a case precedent 
c854a3e27de4,rawlp_c854a3e27de48435,23-1122,23-1122-petitioners,petitioner,23-1122-petitioners_C001,"Lower federal courts may not disregard this Court's decisions, even if they perceive omissions in the Court's reasoning.",p4,"[p4] Without attempting to distinguish Ashcroft, the Fifth Circuit dismissed it by speculating that this Court did not really mean that strict scrutiny applies to laws like COPA and H.B. 1181. That position is as remarkable as it is mistaken. Lower federal courts may not disregard this Court’s decisions, even if they (mis)perceive “omissions” in the Court’s reasoning. Pet. App. 17a. Regardless, Ashcroft evidences no omission. The Ashcroft Court subjected COPA to strict scrutiny because that is what the First Amendment requires, as the United States recognized in defending the statute. The Court did not adopt the rational-basis review standard of Ginsberg, because that standard applies to the definition of obscenity for minors—not the imposition of burdens on adults, as this Court’s post-Ginsberg decisions in Reno, Playboy, and Sable confirm.",accept,,,,
5e626f77e3dd,rawlp_5e626f77e3ddd475,23-1122,23-1122-petitioners,petitioner,23-1122-petitioners_C001,The Ashcroft Court subjected COPA to strict scrutiny because that is what the First Amendment requires.,p4,"[p4] Without attempting to distinguish Ashcroft, the Fifth Circuit dismissed it by speculating that this Court did not really mean that strict scrutiny applies to laws like COPA and H.B. 1181. That position is as remarkable as it is mistaken. Lower federal courts may not disregard this Court’s decisions, even if they (mis)perceive “omissions” in the Court’s reasoning. Pet. App. 17a. Regardless, Ashcroft evidences no omission. The Ashcroft Court subjected COPA to strict scrutiny because that is what the First Amendment requires, as the United States recognized in defending the statute. The Court did not adopt the rational-basis review standard of Ginsberg, because that standard applies to the definition of obscenity for minors—not the imposition of burdens on adults, as this Court’s post-Ginsberg decisions in Reno, Playboy, and Sable confirm.",edit,COPA requires strict scrutiny if following Ashcroft ,,,
b5cd519c088d,rawlp_b5cd519c088d4f52,23-1122,23-1122-petitioners,petitioner,23-1122-petitioners_C001,"H.B. 1181's age-verification requirement is triply flawed: it is overinclusive, underinclusive, and not the least restrictive means of pursuing the state's interest.",p5,"[p5] B. Under the proper standard of strict scrutiny, this case is readily resolved. As the district court found and the Fifth Circuit did not refute, H.B. 1181’s age-verification requirement is triply flawed: it is",reject,,,,"can be divided into three legal propositions, which have been covered separately in other propositions generated"
4b3db3d5b3a8,rawlp_4b3db3d5b3a8fccd,23-1122,23-1122-petitioners,petitioner,23-1122-petitioners_C001,H.B. 1181's age-verification requirement is overinclusive because it restricts adults' access to speech that is not even sexual and not even arguably obscene for minors.,p6,"[p6] overinclusive, underinclusive, and not the least restrictive means of pursuing the state’s interest in protecting minors. It is overinclusive because— through its application to entire websites that have more than one-third content inappropriate for minors— it restricts adults’ access to speech that is not even sexual and not even arguably obscene for minors. It is underinclusive because it exempts search engines and social-media sites that make available to minors huge quantities of the same content that the statute restricts on petitioners’ websites. And it fails to adopt less restrictive and more effective alternatives to burdensome online age-verification, such as the content-filtering software that this Court identified in Ashcroft. Each of those defects is independently fatal; together, they underscore that H.B. 1181 is designed foremost to target disfavored speakers—whom the law brands with self-condemning “health warnings”— rather than to meet the state’s purported objective. Such speaker-based discrimination affords yet another reason why petitioners’ challenge will likely succeed.",accept,,,,
